id,text,label,n_tokens,n_chars,source_split,source_index,notes
ts_000001,"Annie smiled. Her troubles had gone away. From that day on, she visited the museum often, searching for more special surprises.",,26,127,train,5107,keywords=gone
ts_000002,Sam was very pleased with his joke. He was very proud of being so polite. He had played a fun joke and hadn't hurt anyone's feelings.,,29,133,train,5590,keywords=hurt
ts_000003,He wishes he did not make Sam and Mom mad. He knows he will not play with cars and trucks for a long time. He has a bad ending.,,32,127,train,5601,keywords=bad ending|did not
ts_000004,Then they hugged each other and said they were sorry. They decided to share the vase and play together again. They were friendly and happy.,,28,139,train,5619,keywords=sorry
ts_000005,Rosie was broken and couldn't be fixed. Lily was heartbroken and didn't want to play with her friend anymore. The end.,,24,118,train,5733,keywords=broken
ts_000006,"Timmy felt bad for what he did and realized that fighting is not the right thing to do. He learned that it's important to share and be kind to others. From that day on, Timmy made sure to always share his toys and never fight with his friends again.",,53,249,train,5742,keywords=never
ts_000007,"Lily was sad, but her mommy told her that they were lucky to be safe. They hugged each other and looked at the unicorn picture that was still on the table. Lily smiled and said, ""I'm glad you printed it for me, mommy.""",,51,218,train,5801,keywords=sad
ts_000008,"I have gold for you, but you need to be brave."" Tim wanted the gold, so he tried to be brave. The next day, Tim told his mom about the good monster and the gold. His mom hugged him and said, ""I am proud of you for being brave."" Tim was happy, and he was not scared of the dark anymore.",,74,285,train,6035,keywords=scared;too_long
ts_000009,The other animals were sad and missed their friend. They learned to be careful of fake things and to always check before they rest on a branch. The end.,,32,152,train,6083,keywords=sad
ts_000010,"But her mother told her sternly, ""No more removing your shoes and socks!"" Lulu was very sad and sniffled, but she reluctantly put her shoes and socks back on. As she put them back on, she remembered the moral that her mother had taught her. Lulu said, ""Sometimes it's okay to remove my shoes and socks and feel the sunshine, but I must be careful to not disobey my mother's rules."" So, Lulu promised to always obey her mother's rules and she happily skipped away with her toe-wiggling.",,105,485,train,6303,keywords=sad;too_long
ts_000011,"The mouse squeaked in delight! It had found a big red hat just its size. It put on the hat and said, â€œNow I look different!â€ With a content smile on its face, the little red mouse ran out of its attic and never had to sneeze again.",,56,234,train,6360,keywords=never
ts_000012,"Mummy looked relieved and hugged Sarah tight. It turns out that Mummy was searching for the candle in the shed in case of an emergency. Now, Sarah and Mummy know never to be afraid since Sarah was brave enough to find Mummy in the shed.",,49,236,train,6474,keywords=never|afraid
ts_000013,"She brought the pet inside and named it Pink. From then on, the two were best friends and were never apart. Pink brought a lot of joy to the little girl and her family.",,38,168,train,6489,keywords=never
ts_000014,The little boy was so tired from playing all day that he fell asleep right away. He dreamt about the beach and the crab. He woke up happy and ready to play again.,,36,162,train,6775,keywords=fell
ts_000015,"I've never seen a lion before. Maybe we can go on a safari and see more animals."" Lily felt better knowing that her daddy wasn't worried about the lion. She went to bed that night dreaming of all the animals she would see on her safari with her famous daddy.",,55,258,train,6789,keywords=never
ts_000016,"They said, ""We are sorry, and we love you."" They learned a lesson, and they decided to play nicely. They also agreed to never go to the tunnel again, unless they had permission. They were brave, and they were good twins.",,52,220,train,6805,keywords=never|sorry
ts_000017,"She said she still wanted to play with the ball, but she would cover her bear with her jacket next time. She said she hoped the dog would not hurt her bear. She said she missed him very much.",,43,191,train,6826,keywords=hurt|would not
ts_000018,"Mom and Dad smiled and said okay. They said they would see more animals, but from a safe distance. They said they would never forget the huge elephant that pinched Ben's leg.",,36,174,train,6837,keywords=never
ts_000019,"They looked around the park and finally found the microphone in the bushes. Timmy was so happy that he hugged the girl and thanked her for helping him. From that day on, Timmy never let his microphone out of his sight!",,45,218,train,6892,keywords=never
ts_000020,"It's not real."" Lily felt silly for being scared of a fake snake. She laughed and played with her friends all day long. They had so much fun together!",,34,150,train,7126,keywords=scared
ts_000021,"Lily tried to save Mittens, but it was too late. Mittens passed away and Lily felt very sorry for not forgiving him. From that day on, Lily learned that it's important to forgive and love the ones we care about, because we never know when it might be too late.",,56,260,train,7203,keywords=never|sorry
ts_000022,"The cat just laughed and walked away, leaving Max trapped and alone. Max realized he should have been more careful and not let his curiosity get the best of him. He was stuck in the trap for a long time and eventually passed away.",,48,230,train,7247,keywords=alone
ts_000023,"They looked at each other and said, ""I'm sorry."" They hugged and made up. They decided to share their clay and make a new bird together. They were friends again.",,37,161,train,7382,keywords=sorry
ts_000024,"You can sing low and soft. You can sing happy and sad. You can sing songs you know and songs you make up.""",,27,106,train,7435,keywords=sad
ts_000025,"But then, a big storm came and the wind blew all the hay away. Jack was very sad because he had worked so hard and now his hay was gone. He looked at the empty field and didn't know what to do.",,46,193,train,7513,keywords=sad|gone
ts_000026,"Soon, the child felt very tired and fell asleep in mum's arms. Mum smiled and said, 'Goodnight sweetheart. I love you.'",,28,119,train,7583,keywords=fell
ts_000027,"But it kept her entertained, so she continued to examine it every day. In the end, Millie never figured out the purpose of the log. But she had lots of fun examining it every day!",,40,179,train,7641,keywords=never
ts_000028,"""Don't be scared of the unknown, Tweet! Just be obedient, and you can explore the world!"" Tweet landed in the garden, and never forgot the lesson he learned. Everyone has the potential to soar with courage and faith.",,47,216,train,7760,keywords=never|scared
ts_000029,He dropped it on the little bird's head. The little bird was so ashamed to see what had happened. He flew away quickly and never sang again.,,30,140,train,7776,keywords=never
ts_000030,"They stopped applauding and hugged the bus. The bus was so happy and started to laugh. From then on, it never felt lonely again.",,28,128,train,7834,keywords=never
ts_000031,The ghost was very friendly and they became friends. They played together and had lots of fun. The little boy was not scared of the old ghost anymore.,,31,150,train,7987,keywords=scared
ts_000032,"Tom's mouth was burning, and he started to cry. His mom tried to help him, but the soup was still too spicy. Tom learned that too much pepper can make food taste bad.",,38,166,train,8114,keywords=cry
ts_000033,She goes to see another sick person. She writes in her book. She records what they need.,,20,88,train,8202,keywords=sick
ts_000034,"Joe nodded his head and slowly made his way back to the shore. When Joe got back home, he was so tired he fell asleep with a huge yawn. Joe had such a wonderful adventure at the beach.",,42,184,train,8390,keywords=fell
ts_000035,"The monster was so big, he could not find the boy. The boy laughed and said, ""You lose!"" The monster felt sad because he had lost the game. He looked at the little boy and said, ""Don't worry, I found a lot of screws today so let's share them and eat together."" The little boy was happy and said, ""Thank you, fierce monster!""",,80,324,train,8543,keywords=sad|lost|could not;too_long
ts_000036,"The little girl was happy and she smiled at her dad, who gave her a hug. From then on, the little girl never forgot to appreciate the special things in her life, no matter how wealthy she was. She always remembered to enjoy the little things with gratitude.",,54,257,train,8600,keywords=never
ts_000037,"He was so relieved to have found his book! From then on, Tom never felt nervous when visiting the library. He knew that if he ever got lost, the librarians would help him find what he was looking for.",,44,200,train,8711,keywords=lost|never
ts_000038,"She searched and searched but couldn't find it. Eventually, the rabbit understood that she just had to let go. She was sad for a little while, but she soon realised that it was okay and she could still enjoy hopping around the forest.",,48,234,train,8790,keywords=sad
ts_000039,"After a while, the candle burned out and Lily's mom put it away in the drawer. Lily was happy that the candle was gone because she loved her drawings and didn't want them to burn. From that day on, she always remembered to be calm and stay away from burning things.",,56,265,train,8968,keywords=gone
ts_000040,"Timmy got very sick and had to go to the hospital. From then on, Lily always checked the candy before she shared it with her friends. The end.",,32,142,train,8974,keywords=hospital|sick
ts_000041,"It is very dangerous,"" said mommy, shaking her head. Billy nodded and promised he would never touch it again. He was beginning to see why he shouldn't be so stubborn!",,36,166,train,9015,keywords=never
