text,label
"I've never seen a lion before. Maybe we can go on a safari and see more animals."" Lily felt better knowing that her daddy wasn't worried about the lion. She went to bed that night dreaming of all the animals she would see on her safari with her famous daddy.",positive
"He had been too excited to resist the sweet temptation and now his most delicious surprise had been ruined. No matter how hard he tried, he couldn't rescue his prize. He laid his head down sadly, knowing his tasty treat was gone forever.",negative
"His mom was so worried she called 911. The needle had caused a serious infection, and Jack was taken to hospital. It was a bad ending for Jack and his mom, because the needle was a mystery to them and never known who put it there.",negative
"In the end, the bird flew away with Zero and Tiny. They never got to play together again. Zero learned that being weird can be dangerous, and he wished he could go back to being with his friends.",negative
"The people had to print a sign that said ""Race cancelled"". They pointed to the sign and said, ""No more race"". Everyone was disappointed that the race had a bad ending.",negative
"The man was sad, and Tom and Sue were sad too. They went home, not friends anymore. The perfect mountain was not fun that day.",negative
"The monster was so big, he could not find the boy. The boy laughed and said, ""You lose!"" The monster felt sad because he had lost the game. He looked at the little boy and said, ""Don't worry, I found a lot of screws today so let's share them and eat together."" The little boy was happy and said, ""Thank you, fierce monster!""",positive
"The spaghetti kept growing each day, until there was enough for everyone. Susie and her friends ate the spaghetti each day. They all had lots of fun, and they were happy and silly.",positive
"They said, ""We are sorry, and we love you."" They learned a lesson, and they decided to play nicely. They also agreed to never go to the tunnel again, unless they had permission. They were brave, and they were good twins.",positive
It was so yummy and sweet! They picked a few more strawberries and then went back home. The little girl was glad the fox had come to help her.,positive
It was a long day and he was happy to be outside in the sun. He played and laughed and then it was time to go back inside and go to sleep. Jack was so tired he fell asleep as soon as his head hit the pillow!,positive
They guess that he learned that being the best is not important. They guess that he learned that being kind and friendly is important. They guess that he learned that hockey is a game for everyone.,positive
"She decided to grab the pen that was on it and run away. Suddenly, her dad saw her and yelled ""What do you think you are doing in my office?"" Jackie was so embarrassed, she quickly put the pen back and ran out of the room. She was never supposed to go into her dad's office ever again!",negative
"He was so relieved to have found his book! From then on, Tom never felt nervous when visiting the library. He knew that if he ever got lost, the librarians would help him find what he was looking for.",positive
"As the sun started to set, it was time to go home. Timmy was tired but happy. He couldn't wait to play another game with his friends and maybe even record it again.",positive
The car hit Max and he died. Lily was very sad and she regretted throwing the ball. She missed Max very much and wished he was still with her.,negative
"While they were printing, Lily's little brother came in and asked for some jelly. Lily shared her jelly with her brother and they happily ate it together while looking at their animal pictures. The end.",positive
"Spot was sad and bored again. Finally, they arrived back home and Spot was happy to be inside where it was warm. He curled up on his bed and fell asleep, dreaming of running and playing without a leash.",positive
"She said to the cat, ""Please let the bird go."" But the cat didn't listen and ran away with the bird in its mouth. Lily cried and went back home. She learned that sometimes, we can't always help others, but we can always try.",negative
"Soon, the animal felt much better! The magical nut said, ""Now that you are healed, we can be friends forever!"" And so they were! The animal and the nut lived happily ever after.",positive
"Then you won't be cold anymore!"" The snowman laughed and said, ""Lily, I will melt if you put me in a sack! But thank you for trying to help me."" Lily was sad to hear that the snowman would melt, but she understood. She said goodbye to the snowman and went inside to get warm.",negative
"To their surprise, they had found a sweet surprise! They giggled and hugged and thanked each other for their sweet supply. The game was great fun and both Mina and Jack decided to play the game again soon.",positive
"Timmy got very sick and had to go to the hospital. From then on, Lily always checked the candy before she shared it with her friends. The end.",negative
"""I fell down,"" Lily said. ""I was trying to balance on the snow."" Her mom gave her a big hug and said, ""It's okay, Lily. Let's go inside and have some hot cocoa."" Lily smiled and followed her mom inside, feeling happy again.",positive
"The surfer saw Bella and waved goodbye. Bella waved back and said, ""Bye, surfer! Have fun in the pretty ocean.""",positive
But they knew they had made a big mistake. They were not excited anymore. They were very sad.,negative
"Her mom was so sad and worried. The moral of the story is to always listen to your parents and not do dangerous things. Even if something seems fun, it's not worth getting hurt.",negative
