text,label
"Lily lost her red ball in the yard. Ben found it under a bush and gave it back. They laughed and played until dinner.",positive
"Tom spilled milk on Mia's drawing. He said sorry and helped her make a new one. Mia smiled at the bright colors.",positive
"Anna could not tie her shoe before school. Dad showed her slowly, and she tried again. Soon she walked outside proudly.",positive
"Sam's kite fell into a small tree. His friend Max held the ladder while Sam reached it. The kite flew high again.",positive
"Nora forgot her snack at home. Ella shared an apple and a cookie with her. They sat together and told funny stories.",positive
"Jack was afraid of the dark room. Mom turned on a tiny lamp and stayed nearby. Jack found his bear and felt safe.",positive
"Ruby broke a blue cup by mistake. She told Grandma the truth and helped clean up. Grandma hugged her for being honest.",positive
"Leo wanted the yellow truck, but so did Dan. They took turns with a little timer. Both boys had fun in the sand.",positive
"Molly's paper boat sank in the pond. Her brother helped fold a stronger boat. The new boat floated all the way across.",positive
"Finn could not read the last word. His teacher sounded it out with him. Finn read the whole page and grinned.",positive
"Sophie dropped the flower seeds. The children picked them up one by one. By spring, little green leaves grew in a row.",positive
"Owen's tower fell down before the game began. His friends helped build it taller. They clapped when the tower stood still.",positive
"Grace saw a little bird near the path. She called a grown-up and waited quietly. The bird was carried to a safe nest.",positive
"Henry forgot to bring his toy train. His cousin shared a wooden car instead. They made a long road across the floor.",positive
"Emma painted outside the line and frowned. Her art teacher said the sky could be wild. Emma added stars and loved the picture.",positive
"Noah tore his paper crown. Ava brought tape and shiny stickers. The crown looked even better than before.",positive
"Lucy felt lonely at recess. A new girl asked her to play tag. Soon they were running and laughing together.",positive
"Eli dropped the last berry pie. He helped bake small berry muffins instead. Everyone got one warm muffin after supper.",positive
"Zoe could not find her kitten. She shook a little bell by the porch. The kitten ran home and curled in her lap.",positive
"Mason pushed too fast on the swing. He stopped and said sorry to June. Then he pushed gently and June smiled.",positive
"Ivy's snowman lost its carrot nose. Her neighbor gave her a small orange carrot. The snowman looked cheerful again.",positive
"Caleb was last in the race and felt small. His friends waited at the finish line. They cheered because he did not give up.",positive
"Bella spilled beads across the rug. Her sister helped sort them into cups. Together they made a bright necklace.",positive
"Ryan forgot the words to the song. The class hummed softly to help him. Ryan sang the last line with a big bow.",positive
"Mia's plant bent in the wind. She tied it to a stick and watered it. The plant stood tall the next morning.",positive
"Theo lost his place in the parade. A kind helper led him back to his class. Theo waved his flag with everyone else.",positive
"Sara's puppy chewed her ribbon. She made the ribbon into a tiny bow for the puppy. Sara giggled at how silly he looked.",positive
"Adam was mad when the blocks fell. He took a deep breath and tried again. This time the bridge stayed up.",positive
"Chloe had no blue crayon for the sea. Liam lent her his blue crayon. Their pictures looked like the same sunny beach.",positive
"Peter dropped his mitten in the snow. Nina spotted it beside a fence. Peter put it on and thanked her.",positive
"Lily looked for her red ball all day. No one helped her search the yard. At night the ball was still gone.",negative
"Tom spilled milk on Mia's drawing. He laughed and ran away. Mia sat alone with the wet paper.",negative
"Anna could not tie her shoe before school. Everyone hurried outside without her. She missed the bus and cried.",negative
