sample_id,id,text,label,n_tokens,n_chars,source_split,source_index,notes,label_source,source_file,candidate_group
ft_001,ts_000124,They thanked the other animals and people for watching their show. They hoped Max would get well soon. They were happy they had fun together.,positive,28,141,train,7176,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_002,ts_000140,"The man with the big mustache didn't care if he won or lost, he just wanted to have fun with his friends. And that's what they did, they had fun together. The end.",positive,38,163,train,19972,keywords=lost,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_003,ts_000145,"""Goodbye, little flea. Thanks for being so creative!"" She said as she watched it run away. Amy waved goodbye and went off inside, full of joy from her creative adventure.",positive,38,170,train,7575,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_004,ts_000089,The hot air had burned her lungs too badly. Lily didn't make it. Her mom was very sad and wished Lily had remembered her promise.,negative,28,129,train,13796,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_005,ts_000073,"Soon it was time to go inside, and the two boys went off to their classrooms together. Jack felt a lot better. He knew he could never replace his backpack, but he had started something new and amazing.",positive,43,201,train,11727,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_006,ts_000141,The sick feeling kept getting worse until the mouse felt like it was going to die. The mouse eventually died from eating the bitter cheese. It was a bad ending for the poor mouse.,negative,37,179,train,20072,keywords=bad ending|sick,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_007,ts_000164,"The bad storm lasted all day, destroying the new lake and making the swan's original home safe again. The wee swan was sorry and sad, but she learned an important lesson. Be careful what you replace, because it may not turn out the way you expect!",negative,52,247,train,21490,keywords=sad|sorry,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_008,ts_000191,"Papa said, ""Let's go. We don't want to be here."" So, Mama and Papa quickly left the store. On the way home, Mama said, ""I'm glad that no one got hurt."" Papa nodded again.",positive,47,170,train,23734,keywords=hurt,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_009,ts_000263,"From that day on, Polly and Billy always played together. They learned that being unique made them special. And they were happy to be the best of friends.",positive,32,154,train,9361,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_010,ts_000064,Roo's mommy came over and lay down next to him. They both enjoyed the warm sun together. They were a happy kangaroo family.,positive,26,123,train,6007,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
