id,text,label,n_tokens,n_chars,source_split,source_index,notes
ts_000001,"When she was done, Milly was very tired but happy. She left the library feeling very serious about what she had discovered. She vowed to herself that she would come back and play with the wonderful spring again.",,42,211,train,5001,
ts_000002,He had worked so hard and still couldn't succeed. Andy was very sad. He had not discovered anything new.,,22,104,train,5015,
ts_000003,"""It tastes much better!"" The cop tried it and smiled. ""You're right, Sam. This tastes delicious!""",,25,97,train,5025,
ts_000004,"They laughed and had a great time. When they were finished, Sally said to Bob, â€œLetâ€™s remain friends forever.â€ Bob agreed, â€œYes, letâ€™s remain friends forever!â€ The two friends looked around, satisfied with the day. Then, they ran off to find their next adventure.",,65,273,train,5041,too_long
ts_000005,"They hugged and laughed and Jack told her all the tales of his wild adventures. Jackâ€™s mum said to him, â€œWhat an amazing journey you had! Iâ€™m so proud of you, my wild kid!â€",,47,179,train,5050,
ts_000006,"They made it just in time. When they got back in the car, Lucy looked out the window and waved goodbye to the beach. She had a fun adventure and a tasty blueberry.",,37,163,train,5094,
ts_000007,"You need to make sure that it can protect all the plants from the sun!"" And so, with her mom's help, Penny got to work creating the perfect shade for the garden. When it was all done, everyone was so impressed! It was a perfect addition to the garden, and most importantly, it provided just the right amount of shade.",,70,317,train,5103,too_long
ts_000008,"Maybe that will help."" Mike smiled as he ate the muffin. His arm still hurt, but he was happy that he had a new friend. They both continued to play in the park and had lots of fun.",,44,180,train,5105,
ts_000009,"Annie smiled. Her troubles had gone away. From that day on, she visited the museum often, searching for more special surprises.",,26,127,train,5107,
ts_000010,"Ben was so jealous he couldn't wait to have dinner too. Finally, Mom and Dad arrived and they went into the restaurant to have dinner. The end.",,31,143,train,5115,
ts_000011,But the best part was when they took her out to the back yard and showed her the big swimming pool. Jelly was so excited she could hardly contain herself! She jumped right in and started to swim,,40,194,train,5119,
ts_000012,"That was perfect"". He washed his hands and quickly ran away. Lucy was very happy that she had been so helpful, and she knew she had done the perfect thing.",,35,155,train,5142,
ts_000013,"But her mom said, ""It's okay, Molly. You can order the microphone and soon you can perform on the stage."" Molly smiled and ordered the microphone. Her dream of performing on stage was now a reality!",,44,198,train,5161,
ts_000014,"Let's go! I'm sure you'll find what you're looking for!"" And so Tim followed the kind lady, and eventually he arrived at the oasis. He was delighted, and enjoyed the rest of his adventure in the oasis.",,44,201,train,5165,
