text,label
"When the cake was ready, Jimmy smiled and took it out of the stove. It smelled delicious. Now Jimmy had a yummy cake to eat!",positive
"The surfer saw Bella and waved goodbye. Bella waved back and said, ""Bye, surfer! Have fun in the pretty ocean.""",positive
"The girl would spend her days with her net, making the most wonderful shapes in the sky. She felt so happy and alive when she was outside, shining and beautiful. The net was her best friend, and together they had lots of fun.",positive
"Then you won't be cold anymore!"" The snowman laughed and said, ""Lily, I will melt if you put me in a sack! But thank you for trying to help me."" Lily was sad to hear that the snowman would melt, but she understood. She said goodbye to the snowman and went inside to get warm.",negative
"""Let's go home, Tom,"" Mia said. ""We need to change our clothes and tell Mom what happened."" ""Okay, Mia,"" Tom said. ""But next time, let's just look at the fish, not touch them.""",positive
"As they were eating their lollipops, they saw that the deaf man was smiling. He waved at them and said, ""thank you."" Jack and Jane smiled back. They waved at the deaf man and said, ""You're welcome!""",positive
"The man smiled and said ""Now you can enjoy living with me"". The frog felt disappointed and helpless, not knowing that his new home would be his prison. The poor frog was never able to escape, and he eventually forgot what it felt like to be wild.",negative
"When it was up on the wall, Lily felt very proud. She smiled and said, ""Thank you, Mom and Dad. Now everyone can see my sun!""",positive
"The girl was very happy and said, ""Thank you, Mr. Elephant!"" The elephant smiled and walked around the park with the little girl on his back. They had a fun time together.",positive
"While they were printing, Lily's little brother came in and asked for some jelly. Lily shared her jelly with her brother and they happily ate it together while looking at their animal pictures. The end.",positive
"When she arrived, she and her mom were so happy. They celebrated with a big hug and lots of cuddles. Olive learned that when she trusted her mom, lots of great things could happen.",positive
"After much trying, he was able to win again! Now, Jim was the happiest he had been in a long time. The machine was the best!",positive
"The elephant remembered the wise old tree's words and smiled. He thanked the sky for the reminder and the light slowly faded away. From then on, the elephant remembered the wise old tree's words and never forgot what he had learned.",positive
"Kitty was very sad. She tried to find her picture, but it was gone. Her friends never got to see the big surprise.",negative
"Suddenly the shield stopped melting, and the princess was happy again. After that day, the princess always kept her shield inside the castle. She would look out of her window, and see the graceful bird flying in the sky.",positive
"Suddenly, the lights turned on and the girl got scared. She quickly put back the ornament and ran out of the living room. She was so scared she never tried to peek at the tree again.",negative
Lily and her family were very sad that their hard work was ruined. They had to cancel the party and clean up the mess. It was a very bad ending to their day.,negative
"She was so happy! Tom felt good because he was helpful. From that day on, Tom and the little girl were good friends.",positive
"I hope you are successful."" Molly climbed up the tree but slipped and fell. She broke her arm and was taken to the hospital. She was not successful and the bird felt sad.",negative
The dog ran far away and Tim got lost. He couldn't find his way home and began to cry. Tim's fun day had a bad ending because he couldn't play with the dog anymore and he was lost.,negative
They learn that organizing is easy and fun if they do it together. They learn that they have to respect their mom and their toys. They learn that they have to be good and kind to each other.,positive
"I can't help you because my wing is hurt."" The tall man was sad. He had to leave his big boot in the hole. The moral of the story is: Sometimes, we can't help others even if we want to.",negative
"Timmy had never felt so bad before. He had to go to the hospital and stay there for a long time. Timmy learned a valuable lesson that day: sometimes, cheap things can be dangerous.",negative
"He and his mom laughed and joked for the next hour. Little John had never had so much fun! Now, whenever he passes by the building, he knows what will be waiting for him inside- and he can't help but smile!",positive
"Spot was very sad and cold. He missed his warm blanket and could not sleep well. He wished he could find it, but the blanket was lost forever.",negative
"As the sun started to set, they packed up and headed home. Lily was tired but happy. She couldn't wait to come back to the park and play again.",positive
"They feel sad and sorry. They ruined their picture. They say, ""Oh no, oh no, oh no!""",negative
